Date;SP500
24.01.06;1285.04
25.01.06;1261.49
26.01.06;1263.82
27.01.06;1266.86
30.01.06;1264.68
31.01.06;1273.83
01.02.06;1283.72
02.02.06;1285.19
03.02.06;1280.08
06.02.06;1282.46
07.02.06;1270.84
08.02.06;1264.03
09.02.06;1265.02
10.02.06;1254.78
13.02.06;1265.65
14.02.06;1263.78
15.02.06;1266.99
16.02.06;1262.86
17.02.06;1275.53
20.02.06;1275.53
21.02.06;1280.00
22.02.06;1289.38
23.02.06;1287.24
24.02.06;1283.03
27.02.06;1292.67
28.02.06;1287.79
01.03.06;1289.43
02.03.06;1294.12
03.03.06;1280.66
06.03.06;1291.24
07.03.06;1289.14
08.03.06;1287.23
09.03.06;1278.26
10.03.06;1275.88
13.03.06;1278.47
14.03.06;1272.23
15.03.06;1281.42
16.03.06;1284.13
17.03.06;1297.48
20.03.06;1303.02
21.03.06;1305.33
22.03.06;1307.25
23.03.06;1305.08
24.03.06;1297.23
27.03.06;1305.04
28.03.06;1301.67
29.03.06;1302.95
30.03.06;1301.61
31.03.06;1293.23
03.04.06;1302.89
04.04.06;1300.25
05.04.06;1294.87
06.04.06;1297.81
07.04.06;1305.93
10.04.06;1311.56
11.04.06;1309.04
12.04.06;1295.50
13.04.06;1296.62
14.04.06;1296.62
17.04.06;1286.57
18.04.06;1288.12
19.04.06;1289.12
20.04.06;1285.33
21.04.06;1307.28
24.04.06;1309.93
25.04.06;1311.46
26.04.06;1311.28
27.04.06;1308.11
28.04.06;1301.74
01.05.06;1305.41
02.05.06;1309.72
03.05.06;1310.61
04.05.06;1305.19
05.05.06;1313.21
08.05.06;1308.12
09.05.06;1312.25
10.05.06;1325.76
11.05.06;1324.66
12.05.06;1325.14
15.05.06;1322.85
16.05.06;1305.92
17.05.06;1291.24
18.05.06;1294.50
19.05.06;1292.08
22.05.06;1270.32
23.05.06;1261.81
24.05.06;1267.03
25.05.06;1262.07
26.05.06;1256.58
29.05.06;1256.58
30.05.06;1258.57
31.05.06;1272.88
01.06.06;1280.16
02.06.06;1259.87
05.06.06;1270.09
06.06.06;1285.71
07.06.06;1288.22
08.06.06;1265.29
09.06.06;1263.85
12.06.06;1256.15
13.06.06;1257.93
14.06.06;1252.30
15.06.06;1237.44
16.06.06;1223.69
19.06.06;1230.04
20.06.06;1256.16
21.06.06;1251.54
22.06.06;1240.13
23.06.06;1240.12
26.06.06;1252.20
27.06.06;1245.60
28.06.06;1244.50
29.06.06;1250.56
30.06.06;1239.20
03.07.06;1246.00
04.07.06;1246.00
05.07.06;1272.87
06.07.06;1270.20
07.07.06;1280.19
10.07.06;1270.91
11.07.06;1274.08
12.07.06;1265.48
13.07.06;1267.34
14.07.06;1272.43
17.07.06;1258.60
18.07.06;1242.28
19.07.06;1236.20
20.07.06;1234.49
21.07.06;1236.86
24.07.06;1259.81
25.07.06;1249.13
26.07.06;1240.29
27.07.06;1260.91
28.07.06;1268.88
31.07.06;1268.40
01.08.06;1263.20
02.08.06;1278.55
03.08.06;1276.66
04.08.06;1270.92
07.08.06;1277.41
08.08.06;1280.27
09.08.06;1279.36
10.08.06;1275.77
11.08.06;1271.48
14.08.06;1265.95
15.08.06;1271.81
16.08.06;1266.74
17.08.06;1268.21
18.08.06;1285.58
21.08.06;1295.43
22.08.06;1297.48
23.08.06;1302.30
24.08.06;1297.52
25.08.06;1298.82
28.08.06;1292.99
29.08.06;1296.06
30.08.06;1295.09
31.08.06;1301.78
01.09.06;1304.28
04.09.06;1305.37
05.09.06;1305.37
06.09.06;1303.82
07.09.06;1311.01
08.09.06;1313.25
11.09.06;1300.26
12.09.06;1294.02
13.09.06;1298.92
14.09.06;1299.54
15.09.06;1313.00
18.09.06;1318.07
19.09.06;1316.28
20.09.06;1319.66
21.09.06;1321.18
22.09.06;1317.64
25.09.06;1325.18
26.09.06;1318.03
27.09.06;1314.78
28.09.06;1326.37
29.09.06;1336.35
02.10.06;1336.59
03.10.06;1338.88
04.10.06;1335.85
05.10.06;1331.32
06.10.06;1334.11
09.10.06;1350.20
10.10.06;1353.22
11.10.06;1349.59
12.10.06;1350.66
13.10.06;1353.42
16.10.06;1349.95
17.10.06;1362.83
18.10.06;1365.62
19.10.06;1369.06
20.10.06;1364.05
23.10.06;1365.80
24.10.06;1366.96
25.10.06;1368.60
26.10.06;1377.02
27.10.06;1377.38
30.10.06;1382.22
31.10.06;1389.08
01.11.06;1377.34
02.11.06;1377.93
03.11.06;1377.94
06.11.06;1367.81
07.11.06;1367.34
08.11.06;1364.30
09.11.06;1379.78
10.11.06;1382.84
13.11.06;1385.72
14.11.06;1378.33
15.11.06;1380.90
16.11.06;1384.42
17.11.06;1393.22
20.11.06;1396.57
21.11.06;1399.76
22.11.06;1401.20
23.11.06;1401.20
24.11.06;1400.50
27.11.06;1402.81
28.11.06;1406.09
29.11.06;1400.95
30.11.06;1381.96
01.12.06;1386.72
04.12.06;1399.48
05.12.06;1400.63
06.12.06;1396.71
07.12.06;1409.12
08.12.06;1414.76
11.12.06;1412.90
12.12.06;1407.29
13.12.06;1409.84
14.12.06;1413.04
15.12.06;1411.56
18.12.06;1413.21
19.12.06;1425.49
20.12.06;1427.09
21.12.06;1422.48
22.12.06;1425.55
25.12.06;1425.55
26.12.06;1423.53
27.12.06;1418.30
28.12.06;1410.76
29.12.06;1416.90
01.01.07;1416.90
02.01.07;1416.90
03.01.07;1426.84
04.01.07;1424.73
05.01.07;1418.30
08.01.07;1416.60
09.01.07;1418.34
10.01.07;1409.71
11.01.07;1412.84
12.01.07;1412.11
15.01.07;1412.11
16.01.07;1414.85
17.01.07;1423.82
18.01.07;1430.73
19.01.07;1431.90
22.01.07;1430.62
23.01.07;1426.37
24.01.07;1430.50
25.01.07;1422.95
26.01.07;1427.99
29.01.07;1440.13
30.01.07;1423.90
31.01.07;1422.18
01.02.07;1420.62
02.02.07;1428.82
05.02.07;1438.24
06.02.07;1445.94
07.02.07;1448.39
08.02.07;1446.99
09.02.07;1448.00
12.02.07;1450.02
13.02.07;1448.31
14.02.07;1438.06
15.02.07;1433.37
16.02.07;1444.26
19.02.07;1444.26
20.02.07;1455.30
21.02.07;1456.81
22.02.07;1455.54
23.02.07;1459.68
26.02.07;1457.63
